股票代码,统计日期,营业总收入,营业收入,营业总成本,营业成本,税金及附加,销售费用,管理费用,财务费用,资产减值损失,投资收益,营业利润,营业外收入,营业外支出,利润总额,所得税,净利润,归属于母公司所有者的净利润,综合收益总额,归属于母公司普通股东综合收益总额
300012,2015/3/31,234954343.6,234954343.6,225329906.8,130392518.7,493348.37,57647763.45,36208225.43,-1536496.55,2124547.45,21093.42,9645530.18,2738296.44,751680.82,11632145.8,8401946.25,3230199.55,2866292.82,3666317.13,3302410.4
300012,2015/6/30,532515904.3,532515904.3,480903304.5,267719155.8,1169722.26,115632548.9,92870401.79,-920976.4,4432452.19,45065.08,51657664.88,6781938.71,1026139.89,57413463.7,17855597.1,39557866.6,39167667.4,39560181.46,39169982.26
300012,2015/9/30,848611278.7,848611278.7,757879503.4,415920345.2,1678471.21,181608950.2,150648498.4,-191830.77,8215069.17,219278.08,90951053.33,13483410.8,1421402.23,103013061.9,29017573.27,73995488.63,74685231.54,74862996.66,75552739.57
300012,2015/12/31,1287835397,1287835397,1089076934,593076177.8,3109381.11,244794810.3,231476231.7,1141857.98,15478475.69,1036827.67,199795290.2,17450819.54,1767199.62,215478910.1,33306303.89,182172606.2,180574725.1,182835869.9,181494649.2
300012,2016/3/31,259601252.3,259601252.3,266822501.1,158387508.3,997732.69,63534870.22,42105056.23,1520136.89,277196.77,5417.56,-7215831.25,2774655.9,99459.58,-4540634.93,5662395.13,-10203030.06,-8052360.2,-10089188.94,-7938519.08
300012,2016/6/30,636116781.3,636116781.3,611492984.1,340904576.7,1791701.58,144873129.1,113758156.8,2430804.53,7734615.26,162170.4,24785967.6,8079439.88,774663.23,32090744.25,14469809.79,17620934.46,16133345.85,18658426.71,17170838.1
300012,2016/9/30,1066726193,1066726193,972901781.5,534858315.8,2641849.79,224501498.5,194546674.1,5293112.74,11060330.54,967918.88,94792330.64,14531445.61,1250134.18,108073642.1,28437575.45,79636066.62,75406820.89,81563413.73,77334168
300012,2016/12/31,1652260675,1652260675,1523096525,816084946.1,7403414.59,311941952.4,302076439.3,5420762.19,80169010.03,258166.55,129422317.4,28678650.43,3094684.98,155006282.8,43868882.2,111137400.6,101537893.1,114486287,104841995.9
300013,2015/3/31,88905631.73,88905631.73,90449714.91,62926404.63,237881.59,5217796.4,21380298.07,1107562.31,-420228.09,3594077.76,2049994.58,1091875.76,133036.56,3008833.78,1376352.34,1632481.44,1122436.92,1613843.12,1107526.26
300013,2015/6/30,203246989.3,203246989.3,201902037.5,145797136.3,536595.75,10394959.44,42773892.52,2438883.95,-39430.41,3765616.2,5110567.94,1314599.17,541855.19,5883311.92,3659680.44,2223631.48,1301331.78,2168873.29,1251360.8
