股票代码,统计日期,货币资金,应收账款,预付账款,其他应收款,存货,流动资产合计,固定资产,无形资产,非流动资产合计,资产总计,应付账款,预收账款,应付职工薪酬,应交税费,其他应付款,流动负债合计,非流动负债合计,负债合计,实收资本（股本）,资本公积,盈余公积,归属于母公司所有者权益合计,所有者权益合计,负债及股东权益总计,流动资产/流动负债,有形资产/总资产
157,2016/3/31,12158203113,29714297001,350206769.6,1222753180,15064878218,73805708623,7642044278,4618892550,19121902077,92927610700,6432801245,851287184.6,100750362,206877122.3,2535502919,31371074119,21569371065,52940445184,7664132250,13065494650,2917182179,39297937193,39987165516,92927610700,2.352667567,0.876464511
157,2016/6/30,11165179419,30580773280,386471003.6,1227965001,14250545113,74219832485,7709302961,4927814943,19416821329,93636653814,7165757044,840237432.1,129265069.2,311031413,3194569406,34518554489,20780335671,55298890160,7664132250,12627376756,2917182179,37353930544,38337763654,93636653814,2.150143121,0.874968638
157,2016/9/30,9787461172,31036553035,383517139.2,1288964052,13975294915,73177556374,7577956790,4901582165,19481053858,92658610232,6965113933,779264944.4,121789226.1,357516016.9,3369953591,31649137869,22628043358,54277181227,7664132250,12627376756,2917182179,37377477968,38381429005,92658610232,2.312150071,0.871538144
157,2016/12/31,8193686436,30116268198,380886333.1,1183065590,12770071738,68919770140,7450928916,4792939192,20221253314,89141023453,6589528767,774173048.9,242252108.8,399305416.6,3149965248,26899210169,24446852777,51346062946,7664132250,12694071175,2938418835,36813562701,37794960507,89141023453,2.562148469,0.856740209
301,2015/3/31,367585269.3,48218148.48,6978417.93,136377256.7,543386712.8,1252943869,258109369.3,551727191,2839788636,4092732505,31961298.71,50064169.16,93467813.7,53340547.34,53481098.75,338982844.3,589111744.8,928094589.1,1218236445,636578428,226770211.1,3160666313,3164637915,4092732505,3.696186665,0.369204007
301,2015/6/30,367019765.1,48660387.58,6937246.7,136515550.8,541007785.8,1190402442,250299281,548372879.7,2929012994,4119415436,34158409.23,44761291.51,95942628.89,38702325.6,51897103.03,276479258.3,624986656.8,901465915,1218236445,636578428,226770211.1,3213956746,3217949521,4119415436,4.30557594,0.349734506
301,2015/9/30,255557600.9,49232556.53,14786944.96,136483742.9,543366539.9,1086183668,242097875,547911690.3,3056411946,4142595614,53601860.58,53022293.38,98523772.83,20515193.2,53859968.01,294830588,644168298.6,938998886.6,1218236445,636578428,226770211.1,3199570443,3203596728,4142595614,3.684094231,0.320639924
301,2015/12/31,311106491.2,40202545.91,20153255.58,101910401.8,513814854.9,1229957655,260723911.5,544554663,3167372818,4397330473,257832558.3,54398989.11,96557643.24,21426240.45,44735798.11,477513682,685695147.6,1163208830,1218236445,636578428,246627820.6,3230232086,3234121644,4397330473,2.575753746,0.338996938
301,2016/3/31,364847286.9,50754009.53,20014628.04,101598863.2,515378225.1,1239592744,253351302.7,540977604.1,3339859154,4579451898,251890794,56865674.11,76516622.71,21916255.32,37945055.54,551827131.1,756394212.7,1308221344,1218236445,636578471.1,246627820.6,3267203926,3271230554,4579451898,2.246342513,0.32600933
301,2016/6/30,444791563.5,49206874.2,21139765.21,102045896.5,534629051.3,1295553082,312983062.6,537405770.2,3474211819,4769764901,304455645.8,61230152.62,79021895.48,22394823.52,43816228.68,623283874.1,822587563.4,1445871437,1218236445,636578471.1,246627820.6,3319937448,3323893464,4769764901,2.078592334,0.337235939
